model,model_order,condition_id,condition_name,condition_order,n_subjects,n_windows,mae_deg,aggregation
Random Forest,0,treadmill_walking_1_kmh,Walk at 1 km/h,0,7,3848,7.493093575305514,"within-subject output mean, then equal-subject mean"
Random Forest,0,treadmill_walking_2_kmh,Walk at 2 km/h,1,7,3846,7.440793382356333,"within-subject output mean, then equal-subject mean"
Random Forest,0,treadmill_walking_3_kmh,Walk at 3 km/h,2,7,3853,7.279616053402938,"within-subject output mean, then equal-subject mean"
Random Forest,0,treadmill_walking_4_kmh,Walk at 4 km/h,3,7,3866,7.567297583882184,"within-subject output mean, then equal-subject mean"
Random Forest,0,treadmill_walking_5_kmh,Walk at 5 km/h,4,7,3857,7.9635148498794734,"within-subject output mean, then equal-subject mean"
Random Forest,0,quiet_stand,Quiet Stand,5,7,3853,5.939761884457583,"within-subject output mean, then equal-subject mean"
Random Forest,0,quiet_sit,Quiet Sit,6,7,3854,15.989944944826002,"within-subject output mean, then equal-subject mean"
Random Forest,0,stand_sit_transition,Stand-sit transition,7,7,3858,12.88697035850601,"within-subject output mean, then equal-subject mean"
Random Forest,0,deep_squat,Deep Squat,8,7,3852,12.030987593220555,"within-subject output mean, then equal-subject mean"
Random Forest,0,stair_ascent,Stair Ascent,9,7,3857,9.011583428463393,"within-subject output mean, then equal-subject mean"
Random Forest,0,forward_lunge,Forward Lunge,10,7,3860,12.708082060496102,"within-subject output mean, then equal-subject mean"
Random Forest,0,left_lunge,Left Lunge,11,7,3851,11.755708997903394,"within-subject output mean, then equal-subject mean"
Random Forest,0,vertical_jump,Vertical Jump,12,7,3858,7.955932827197749,"within-subject output mean, then equal-subject mean"
Random Forest,0,single_leg_stance,Single-leg Stance,13,7,3859,8.27275019437108,"within-subject output mean, then equal-subject mean"
Random Forest,0,heel_raise,Heel Raise,14,7,3858,6.981030454147098,"within-subject output mean, then equal-subject mean"
Random Forest,0,deadlift,Deadlift,15,7,3857,12.165210201807215,"within-subject output mean, then equal-subject mean"
TCN,1,treadmill_walking_1_kmh,Walk at 1 km/h,0,7,3848,7.92705104947276,"within-subject output mean, then equal-subject mean"
TCN,1,treadmill_walking_2_kmh,Walk at 2 km/h,1,7,3846,7.7319864000692755,"within-subject output mean, then equal-subject mean"
TCN,1,treadmill_walking_3_kmh,Walk at 3 km/h,2,7,3853,7.700142021018615,"within-subject output mean, then equal-subject mean"
TCN,1,treadmill_walking_4_kmh,Walk at 4 km/h,3,7,3866,8.261261316836285,"within-subject output mean, then equal-subject mean"
TCN,1,treadmill_walking_5_kmh,Walk at 5 km/h,4,7,3857,8.63195897439749,"within-subject output mean, then equal-subject mean"
TCN,1,quiet_stand,Quiet Stand,5,7,3853,5.244840936111914,"within-subject output mean, then equal-subject mean"
TCN,1,quiet_sit,Quiet Sit,6,7,3854,8.834193416705224,"within-subject output mean, then equal-subject mean"
TCN,1,stand_sit_transition,Stand-sit transition,7,7,3858,11.757336947284156,"within-subject output mean, then equal-subject mean"
TCN,1,deep_squat,Deep Squat,8,7,3852,10.352845358566325,"within-subject output mean, then equal-subject mean"
TCN,1,stair_ascent,Stair Ascent,9,7,3857,9.51923984095264,"within-subject output mean, then equal-subject mean"
TCN,1,forward_lunge,Forward Lunge,10,7,3860,11.878012840220313,"within-subject output mean, then equal-subject mean"
TCN,1,left_lunge,Left Lunge,11,7,3851,10.4969885758321,"within-subject output mean, then equal-subject mean"
TCN,1,vertical_jump,Vertical Jump,12,7,3858,8.021935538503142,"within-subject output mean, then equal-subject mean"
TCN,1,single_leg_stance,Single-leg Stance,13,7,3859,7.402231235291609,"within-subject output mean, then equal-subject mean"
TCN,1,heel_raise,Heel Raise,14,7,3858,6.841625907046783,"within-subject output mean, then equal-subject mean"
TCN,1,deadlift,Deadlift,15,7,3857,10.804270889582105,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,treadmill_walking_1_kmh,Walk at 1 km/h,0,7,3848,8.702543293325542,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,treadmill_walking_2_kmh,Walk at 2 km/h,1,7,3846,8.704347539170259,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,treadmill_walking_3_kmh,Walk at 3 km/h,2,7,3853,9.10168269854632,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,treadmill_walking_4_kmh,Walk at 4 km/h,3,7,3866,9.481205686021246,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,treadmill_walking_5_kmh,Walk at 5 km/h,4,7,3857,9.988944103921499,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,quiet_stand,Quiet Stand,5,7,3853,6.807893347115477,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,quiet_sit,Quiet Sit,6,7,3854,8.052687394903659,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,stand_sit_transition,Stand-sit transition,7,7,3858,12.133653809882109,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,deep_squat,Deep Squat,8,7,3852,10.419091349122803,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,stair_ascent,Stair Ascent,9,7,3857,10.108486905106844,"within-subject output mean, then equal-subject mean"
LSTMPlus,2,forward_lunge,Forward Lunge,10,7,3860,12.609391642738501,"within-subject output mean, then equal-subject mean"
